company,date,work_type,job,question,answer
(주)오뚜기,2022년 하반기,신입,바이오·제약연구원,"지원직무를 위해 어떤 준비를 했는지 설명하십시오. (직무와 관련한 경험, 전공, 수강과목, 자격증 등을 포함하여 작성)","
학위과정 중 다양한 친환경 고분자 소재를 성형/가공하여 다양한 형태로 제조하였고, 이에 대한 물성 분석을 진행하였습니다. 다양한 장비를 직접 운용하며 유변학적, 역학적, 열적, 광학적, 화학적, 전기적 특성을 측정하였고, 광범위한 분석 역량을 습득할 수 있었습니다.특히 “인열강도가 향상된 생분해성 PLA 필름 소재 개발”이란 국책과제에 참여하여 PLA, PBAT 필름의 역학적 강도 향상을 위해 다양한 나노 필러를 도입하였습니다. 유변 분석을 통해 고분자/필러 간 상호작용을 분석하였고, 이를 결정화 거동(XRD, DSC)/광 투과도(UV-vis)/열 안정성(TGA)/역학적 특성(UTM)을 분석하여 최종 목표인 인열 강도 향상을 위한 최적 레시피 도출에 성공하였습니다. 다양한 특성 간의 상관관계를 파악하는 역량을 강화하여 이를 바탕으로 주 저자로서 1편, 공동저자로 3편의 논문을 게재하였습니다. 또한 셀룰로오스 나노섬유를 가스센서의 기판으로 도입하였습니다. 제조 방식에 따라 나노섬유의 기능기가 달랐음을 FT-IR을 통해 확인하였으며, Raman 분석을 통해 기판이 Oxy-SWCNTs에 도핑효과를 주었음을 확인하였습니다.이처럼 친환경 소재의 다양한 분석 경험과 이를 포장재에 응용하기 위한 레시피 도출 경험은 오뚜기에서도 친환경 포장재 개발에 큰 도움이 될 것이라 생각합니다.                         
"
(주)오뚜기,2022년 하반기,신입,바이오·제약연구원,"회사 또는 단체생활에 가장 필요한 태도, 역량은 무엇이라고 생각하는지 본인의 경험을 바탕으로 설명하십시오.","
다른 사람의 성향을 파악하고 이를 잘 활용할 수 있는 역량이 필요하다고 생각합니다.연구라는 것은 단순히 실험과 공부에 그치지 않고 서류 작성부터 과제 기획, 물품 관리 등 다양한 업무가 수반되며, 혼자서 할 수 있는 일은 제한되어 있습니다.처음 연구실에 들어왔을 때, 선배로부터 과제비 관리, 시약 관리, 안전 관리 등 너무나 많은 부분을 한꺼번에 배우게 되었습니다. 장기적으로는 많은 일을 할 수 있는 것이 장점이 되었지만 처음부터 많은 업무를 수행하는 데 어려움이 컸습니다. 이후 제가 연구실 담당이 되었을 때는 처음 들어오는 후배들에게 각자의 성향에 맞게 업무 분담을 시켰습니다. 꼼꼼함이 돋보이던 친구에게는 물품 관리에 대해 알려주었고, 책임감이 크다고 판단한 후배에게는 안전 관리에 대해 알려주었습니다. 각자의 성향에 맞는 일을 먼저 시작하니 빠르게 업무에 적응하였으며 서로의 업무를 가르치며 효율적으로 성장하는 기조를 구축하였습니다.앞으로도 다른 사람의 성향을 파악하여 함께 성장하는 오뚜기의 신입 연구원이 되겠습니다.                         
"
(주)오뚜기,2022년 하반기,신입,바이오·제약연구원,오뚜기에 지원한 이유와 입사 후 회사에서 이루고 싶은 꿈을 설명하십시오.,"
친환경 식품포장재 개발의 성공적인 상용화를 이끌어내고 싶습니다.학위과정 중 다양한 친환경 소재를 직접 다뤄보며, 기업의 경제적/사회적 가치를 모두 실현시키는 것을 연구자로서 목표로 삼았고, 이는 많은 플라스틱 쓰레기를 배출하는 포장재에서부터 시작돼야 한다고 느꼈습니다.이런 저의 목표는 오뚜기의 가치관과 잘 부합한다고 생각하였습니다. 오뚜기는 스마트 그린컵과 같은 친환경 제품을 지속적으로 확대 적용해 왔습니다. 또한 제품 개발뿐 만 아니라 포장 규격 개선, 리무버블 스티커 라벨 적용 등 다양한 방법으로 환경문제를 개선하는데 앞장서고 있습니다. 일찍이 환경에 관심을 갖고 환경 경영을 실천해온 대표적인 기업으로 잘 알려진 친환경 기업 오뚜기에서, 환경적 가치 실현에 앞장서는 연구자가 되겠습니다.                         
"
㈜크라운제과,2021년 하반기,인턴,바이오·제약연구원,성장과정,"
중학생 때 학교의 임원으로서 다양한 활동을 기획하고 진행했습니다. 학생회장 선거에 도전하여 전교부회장으로 당선되었고 이를 통해 두 가지 교훈을 배웠습니다. 적극적으로 임할수록 더 많은 것을 경험할 수 있다는 점과 적극적인 수행과정에서 저의 성장이 수반된다는 점입니다.                         
"
㈜크라운제과,2021년 하반기,인턴,바이오·제약연구원,성격 및 생활신조,"
저는 목표 달성을 위해 지체 없이 처리하고자 하는 적극성을 가졌습니다. 이러한 추진력을 바탕으로 직접 팀원들을 모집하여 식품 공공기관에서 주관한 두 차례의 대외 활동에 참여했습니다. 다른 팀원들의 동참을 이끌며 프로젝트를 추진하였고 여러 성과를 냈던 경험이 있습니다.                         
"
㈜크라운제과,2021년 하반기,인턴,바이오·제약연구원,학교생활/사회봉사 활동/연수 여행 경험,"
여러 대외 활동에 참여하면서도 졸업 전공 평점 4.13, 한 학기는 전체 과 수석을 차지하며 전공 지식을 탄탄히 했습니다. 또한 식품 기사 자격을 취득, HACCP 교육 과정을 이수하며 위해 요소를 컨트롤 하는 방법과 식품 안전성을 확보할 수 있는 프로세스를 익혔습니다                         
"
㈜크라운제과,2021년 하반기,인턴,바이오·제약연구원,경력사항,"
3년 동안 아이스크림 전문점에서 아르바이트를 하면서 제품 관련 클레임을 20% 가량 감소 시킨 경험이 있습니다. 당시 아이스크림이 녹아 제품 본연의 맛을 즐기지 못한다는 클레임이 자주 발생하여 이를 외면하지 않고 적극적으로 문제점을 도출해내어 개선 사항을 반영했습니다.                         
"
㈜크라운제과,2021년 하반기,인턴,바이오·제약연구원,지원 동기 및 입사 포부,"
학부연구생으로서의 랩실 경험을 통해 식품안전에 대한 관심으로 지원하게 됐습니다. 식품 안전 및 미생물 연구실에서 학부생 연구프로그램에 참여해 신속검출에 대한 실험을 진행하며 사전 risk 예방의 중요성을 깨달았습니다. 추후 담당 제품의 안전성을 확보하는 데 기여하겠습니다.                         
"
㈜크라운제과,2021년 하반기,인턴,바이오·제약연구원,기타사항,"
요즘 들어 소비자의 향상된 식품 안전 수준으로 인해 영양 정보의 중요성 또한 대두 되고 있습니다. 변화하는 표시 제도나 식품 관련 정책, 법령 등에 관심을 가지고 안전성을 확보하기 위한 방안들을 강구해 나가겠습니다.                          
"
삼성메디슨(주),2021년 하반기,신입,바이오·제약연구원,삼성메디슨을 지원한 이유와 입사 후 회사에서 이루고 싶은 꿈을 기술하십시오. ,"
""최고 지향 엔지니어, 삼성 메디슨과 함께"" 공정 제어 시스템 과목을 수강하며 제어 시스템에 관한 기초를 다졌습니다. 이후 화학 공정설계 과목을 통해 다양한 반응기와 열교환기 등의 장치들이 실제 공정에 있어서 어떻게 사용되고 있는지 배웠습니다. 프로젝트를 수행하며 직접 공정 프로세스를 설계하는 과정에서 조건을 만족 시키기 위해 여러 변수를 조작하고, 수율을 높이기 위해 개선 사항을 끊임없이 찾다 보니 공정설계에 더욱 흥미를 느끼게 되었습니다. 끊임없는 도전정신과 열정으로 최고가 되기 위해 최선을 다한다는 삼성메디슨의 가치 방향은 저의 꿈을 이루기에 최적의 회사라고 생각합니다. 생명 화공 연구실 인턴 활동을 통해 쌓은 탄탄한 공정 설계 기본기를 바탕으로, 입사 후에 공정 개발 직무에 관한 경험을 더해서 단위 공정 별 요소 기술에 관한 역량을 더욱 키우겠습니다. 논문과 전공 서적 등을 가까이하며 유/무기 재료에 관한 지식을 습득하여 활성에 영향을 미치지 않고, 수율을 안정화 할 수 있도록 힘쓸 것입니다. ""Probe 제품 수율 최적화에 앞장서는 엔지니어"" 신속한 문제 해결 능력과 원활한 소통이 공정개발 직무에 있어서 가장 중요하다고 생각합니다. 공정에서 발생하는 문제들을 신속하게 해결하여 안정적으로 Probe 제품이 양산될 수 있도록 현상 유지하는 것에서 멈추지 않겠습니다. 끊임없는 공정 개선을 통해 제품의 수율을 높여 이윤 창출을 달성하는 최고의 실력을 갖춘 공정 엔지니어가 되고 싶습니다. 인내심을 가지고 여러 분야의 팀원들과 협업하여 Probe 제품 생산 공정을 최적화 시키고, 안정화된 수율을 가진 공정을 개발하는 것이 저의 꿈입니다.                         
"
